time	V(1)	V(2)	I(L1)
5.321864401233018e-002	1.222210e-001	-3.456552e+000	2.598816e-003
5.322858729764243e-002	1.894465e-001	-3.212917e+000	2.410640e-003
5.323969969400132e-002	2.386587e-001	-2.926198e+000	2.127051e-003
5.325235834305396e-002	2.500290e-001	-2.637043e+000	1.762063e-003
5.326641996382119e-002	2.044068e-001	-2.425981e+000	1.384369e-003
5.327936795459590e-002	1.131792e-001	-2.377995e+000	1.130962e-003
5.328953903165620e-002	1.431764e-002	-2.464098e+000	1.040948e-003
5.329768800123766e-002	-7.482873e-002	-2.621185e+000	1.065715e-003
5.330618920250492e-002	-1.663064e-001	-2.856966e+000	1.190805e-003
5.331605250563698e-002	-2.569379e-001	-3.186571e+000	1.443682e-003
5.332730087287610e-002	-3.248653e-001	-3.582547e+000	1.834022e-003
5.333981944478973e-002	-3.404252e-001	-3.970777e+000	2.324932e-003
5.335388583831010e-002	-2.736171e-001	-4.235367e+000	2.823002e-003
5.337069225231023e-002	-1.037699e-001	-4.270155e+000	3.227440e-003
5.338055178596741e-002	3.081522e-002	-4.115365e+000	3.300894e-003
5.338893597459070e-002	1.566391e-001	-3.854665e+000	3.212245e-003
5.339777188296079e-002	2.801118e-001	-3.489903e+000	2.977711e-003
5.340831898339384e-002	3.954625e-001	-2.993403e+000	2.548679e-003
5.341995425059622e-002	4.613282e-001	-2.451468e+000	1.957570e-003
5.343325382520919e-002	4.488584e-001	-1.931631e+000	1.238584e-003
5.344336879646337e-002	3.726295e-001	-1.670742e+000	7.382075e-004
5.345113702920274e-002	2.710640e-001	-1.596457e+000	4.352406e-004
5.345803747686274e-002	1.548347e-001	-1.640774e+000	2.582844e-004
5.346456860226734e-002	2.924773e-002	-1.782833e+000	1.890282e-004
5.347181427445130e-002	-1.186221e-001	-2.047239e+000	2.333609e-004
5.347977992810822e-002	-2.783143e-001	-2.447318e+000	4.317103e-004
5.348969532665490e-002	-4.525601e-001	-3.053033e+000	8.738542e-004
5.350066056912257e-002	-5.867006e-001	-3.771596e+000	1.553813e-003
5.351315125411772e-002	-6.345198e-001	-4.517087e+000	2.455560e-003
5.352672351474332e-002	-5.444463e-001	-5.071814e+000	3.394207e-003
5.354073300454212e-002	-3.114209e-001	-5.249937e+000	4.126706e-003
5.355135794379003e-002	-5.736186e-002	-5.056464e+000	4.399920e-003
5.355953794741985e-002	1.678589e-001	-4.677084e+000	4.359321e-003
5.356818215708415e-002	4.045507e-001	-4.089122e+000	4.059050e-003
5.357769849201330e-002	6.293503e-001	-3.301628e+000	3.463742e-003
5.358894651455825e-002	8.099485e-001	-2.300848e+000	2.496268e-003
5.360105975132951e-002	8.932771e-001	-1.236237e+000	1.284592e-003
5.360694283242249e-002	8.802431e-001	-7.166079e-001	6.734023e-004
5.361275938727710e-002	8.288407e-001	-1.541593e-001	8.569867e-005
5.361702635541099e-002	7.783352e-001	3.223122e-001	-3.195978e-004
5.362141799268382e-002	7.212853e-001	8.742737e-001	-7.089096e-004
5.362455727925818e-002	6.809411e-001	1.287337e+000	-9.696789e-004
5.362742691413011e-002	6.456419e-001	1.652720e+000	-1.193850e-003
5.363034115820033e-002	6.112868e-001	1.989217e+000	-1.407886e-003
5.363465489778330e-002	5.615501e-001	2.419528e+000	-1.700577e-003
5.364092977086984e-002	4.884841e-001	2.935424e+000	-2.084542e-003
5.364695323276941e-002	4.149477e-001	3.315745e+000	-2.404017e-003
5.365349347765194e-002	3.286975e-001	3.598912e+000	-2.685587e-003
5.366126948055992e-002	2.167589e-001	3.771305e+000	-2.915957e-003
5.367347776094828e-002	3.002045e-002	3.789840e+000	-3.082095e-003
5.368338700067352e-002	-1.204990e-001	3.618827e+000	-3.036422e-003
5.369407339834204e-002	-2.652227e-001	3.274210e+000	-2.789782e-003
5.370490215157278e-002	-3.719367e-001	2.842894e+000	-2.379202e-003
5.371748521740006e-002	-4.272813e-001	2.339642e+000	-1.783161e-003
5.372934946323475e-002	-4.044957e-001	1.951719e+000	-1.199201e-003
5.373911504076264e-002	-3.258893e-001	1.757755e+000	-7.719848e-004
5.374743844652059e-002	-2.178381e-001	1.722315e+000	-5.001078e-004
5.375527085727619e-002	-8.914830e-002	1.818357e+000	-3.607252e-004
5.376402001931018e-002	7.172205e-002	2.065401e+000	-3.537408e-004
5.377231529658096e-002	2.266954e-001	2.421019e+000	-5.023791e-004
5.378175234754222e-002	3.863863e-001	2.936428e+000	-8.543860e-004
5.379255208506874e-002	5.221936e-001	3.589076e+000	-1.442172e-003
